PassengerId,Survived,Pclass_2,Pclass_3,Sex_1,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Parch_9
1,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False
9,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False
15,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
18,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
26,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
27,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
29,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
32,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
33,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
35,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
36,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
37,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
39,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
41,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
42,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
43,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
44,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
45,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
47,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
48,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
50,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
51,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
52,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
56,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
57,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
59,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
60,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
61,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
62,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
64,0,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
65,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66,1,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
67,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
69,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
70,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
71,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
72,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
73,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
74,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
75,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
76,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
77,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
78,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
79,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
80,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
82,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
83,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
85,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
87,0,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False
88,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
89,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
90,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
91,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
92,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
93,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
94,0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
95,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
97,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
99,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
100,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
101,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
103,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
104,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
105,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
106,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
107,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
109,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
110,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
111,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
112,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
113,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
114,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
115,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
117,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
118,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
119,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
120,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
121,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
122,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
123,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
124,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
126,1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
127,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
128,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
129,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
130,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
131,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
133,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
134,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
135,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
