PassengerId,Survived,Age,Fare,SibSp,Parch,Pclass_2,Pclass_3,Sex_1,Cabin_1,Embarked_1,Embarked_2
1,0,-0.5816283106401147,-0.5032910637405889,0.481287771858981,-0.444999501816175,False,True,True,False,False,True
2,1,0.6586519408900796,0.7347436506052941,0.481287771858981,-0.444999501816175,False,False,False,True,False,False
3,1,-0.2715582477575661,-0.4902404567566684,-0.47908676070718687,-0.444999501816175,False,True,False,False,False,True
4,1,0.4260993937281682,0.38318349953756076,0.481287771858981,-0.444999501816175,False,False,False,True,False,True
5,0,0.4260993937281682,-0.48782367768557205,-0.47908676070718687,-0.444999501816175,False,True,True,False,False,True
6,0,-0.11652321631629182,-0.47992951052774285,-0.47908676070718687,-0.444999501816175,False,True,True,False,True,False
7,0,1.898932192420274,0.35925738673370655,-0.47908676070718687,-0.444999501816175,False,False,True,True,False,True
8,0,-2.1319786250528576,-0.23599529847733,2.4020368369913165,0.7107630931786129,False,True,True,False,False,True
9,1,-0.19404073203692898,-0.4282104384062805,-0.47908676070718687,1.8665256881734007,False,True,False,False,False,True
10,1,-1.201768436405212,-0.062068409135180025,0.481287771858981,-0.444999501816175,True,False,False,False,False,False
11,1,-1.9769435936115833,-0.32058256596570306,0.481287771858981,0.7107630931786129,False,True,False,True,False,True
12,1,2.2090022553028223,-0.13014037516330884,-0.47908676070718687,-0.444999501816175,False,False,False,True,False,True
13,0,-0.736663342081389,-0.48782367768557205,-0.47908676070718687,-0.444999501816175,False,True,True,False,False,True
14,0,0.7361694566107168,-0.038786126275866,0.481287771858981,5.333813473157765,False,True,True,False,False,True
15,0,-1.201768436405212,-0.4916093204225374,-0.47908676070718687,-0.444999501816175,False,True,False,False,False,True
16,1,1.9764497081409111,-0.33411652876384274,-0.47908676070718687,-0.444999501816175,True,False,False,False,False,True
17,0,-2.1319786250528576,-0.08035472629872359,3.3624113695574844,0.7107630931786129,False,True,True,False,True,False
18,1,-0.11652321631629182,-0.3921192264701557,-0.47908676070718687,-0.444999501816175,True,False,True,False,False,True
