PassengerId,source,Survived,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_0,Sex_1,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Parch_9,Cabin_0,Cabin_1,Embarked_0,Embarked_1,Embarked_2
1,train,0.0,-0.5816283106401147,-0.5032910637405889,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
2,train,1.0,0.6586519408900796,0.7347436506052941,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
3,train,1.0,-0.2715582477575661,-0.4902404567566684,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
4,train,1.0,0.4260993937281682,0.38318349953756076,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
5,train,0.0,0.4260993937281682,-0.48782367768557205,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
6,train,0.0,-0.11652321631629182,-0.47992951052774285,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
7,train,0.0,1.898932192420274,0.35925738673370655,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
8,train,0.0,-2.1319786250528576,-0.23599529847733,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
9,train,1.0,-0.19404073203692898,-0.4282104384062805,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
10,train,1.0,-1.201768436405212,-0.062068409135180025,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
11,train,1.0,-1.9769435936115833,-0.32058256596570306,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
12,train,1.0,2.2090022553028223,-0.13014037516330884,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
13,train,0.0,-0.736663342081389,-0.48782367768557205,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
14,train,0.0,0.7361694566107168,-0.038786126275866,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
15,train,0.0,-1.201768436405212,-0.4916093204225374,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
16,train,1.0,1.9764497081409111,-0.33411652876384274,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
17,train,0.0,-2.1319786250528576,-0.08035472629872359,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
18,train,1.0,-0.11652321631629182,-0.3921192264701557,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
19,train,0.0,0.1160293308456196,-0.29544806362630077,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
20,train,1.0,-0.11652321631629182,-0.5037744195548081,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
21,train,0.0,0.4260993937281682,-0.14077420307613292,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
22,train,1.0,0.34858187800753104,-0.3921192264701557,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
23,train,1.0,-1.1242509206845748,-0.4882258297230025,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
24,train,1.0,-0.11652321631629182,0.042901006327191425,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
25,train,0.0,-1.6668735307290348,-0.23599529847733,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
26,train,1.0,0.6586519408900796,-0.036611025111879254,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
27,train,0.0,-0.11652321631629182,-0.5037744195548081,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
28,train,0.0,-0.8141808578020261,4.44143891572259,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
29,train,1.0,-0.11652321631629182,-0.4911259646083181,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
30,train,0.0,-0.11652321631629182,-0.4908050163476765,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
31,train,0.0,0.8136869723313539,-0.10750385567179178,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
32,train,1.0,-0.11652321631629182,2.189402973498201,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
33,train,1.0,-0.11652321631629182,-0.49362394745620336,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
34,train,0.0,2.8291423810679195,-0.44045480789208313,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
35,train,0.0,-0.11652321631629182,0.9452451076977882,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
36,train,0.0,0.9687220037726282,0.36191584371191265,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,train,1.0,-0.11652321631629182,-0.5036932157780193,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
38,train,0.0,-0.6591458263607518,-0.48782367768557205,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
39,train,0.0,-0.8916983735226632,-0.29544806362630077,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
40,train,1.0,-1.201768436405212,-0.42611460759582565,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
41,train,0.0,0.8136869723313539,-0.4602723962750734,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
42,train,0.0,-0.19404073203692898,-0.23744536591998783,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
43,train,0.0,-0.11652321631629182,-0.4908050163476765,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
44,train,1.0,-2.0544611093322205,0.16043767295926398,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
45,train,1.0,-0.8141808578020261,-0.4911259646083181,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
46,train,0.0,-0.11652321631629182,-0.48782367768557205,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
